sample_id,subject_id,group,tissue_compartment,scrna_tissue_size_cm,same_donor_across_modalities,biological_replicates_per_group
CB,CB01,CB,Cancellous jawbone,1 x 1,TRUE,1
CTRL,CTRL01,CTRL,Cancellous jawbone,1 x 1,TRUE,1
